time,lat,lon,value
1246983258,37.852712,-122.283607,0.017
1246983259,37.852692,-122.283662,0.013
1246983260,37.852688,-122.283713,0.013
1246983261,37.852683,-122.283768,0.014
1246983262,37.852663,-122.283808,0.013
1246983263,37.852653,-122.283857,0.014
1246983264,37.852642,-122.283907,0.012
1246983265,37.852617,-122.283962,0.014
1246983266,37.852620,-122.284028,0.012
1246983267,37.852603,-122.284100,0.012
1246983268,37.852587,-122.284180,0.013
1246983269,37.852573,-122.284257,0.013
1246983270,37.852563,-122.284330,0.014
1246983271,37.852548,-122.284407,0.012
1246983272,37.852547,-122.284472,0.015
1246983273,37.852545,-122.284523,0.013
1246983274,37.852548,-122.284558,0.013
1246983275,37.852557,-122.284578,0.013
1246983276,37.852563,-122.284588,0.012
1246983277,37.852562,-122.284620,0.010
1246983278,37.852548,-122.284655,0.014
1246983279,37.852530,-122.284693,0.014
1246983280,37.852507,-122.284735,0.013
1246983281,37.852488,-122.284783,0.014
1246983282,37.852475,-122.284838,0.013
1246983283,37.852470,-122.284898,0.010
1246983284,37.852460,-122.284958,0.012
1246983285,37.852442,-122.285015,0.014
1246983286,37.852427,-122.285072,0.013
1246983287,37.852410,-122.285130,0.012
1246983288,37.852392,-122.285188,0.014
1246983289,37.852373,-122.285245,0.015
1246983290,37.852358,-122.285305,0.013
1246983291,37.852335,-122.285358,0.014
1246983292,37.852315,-122.285417,0.013
1246983293,37.852297,-122.285475,0.013
1246983294,37.852283,-122.285533,0.015
1246983295,37.852263,-122.285588,0.012
1246983296,37.852232,-122.285638,0.014
1246983297,37.852230,-122.285705,0.012
1246983298,37.852210,-122.285760,0.013
1246983299,37.852198,-122.285818,0.016
1246983300,37.852190,-122.285872,0.013
1246983301,37.852192,-122.285920,0.010
1246983302,37.852198,-122.285955,0.013
1246983303,37.852202,-122.285970,0.012
1246983304,37.852193,-122.285968,0.012
1246983305,37.852198,-122.285977,0.011
1246983306,37.852200,-122.285983,0.012
1246983307,37.852202,-122.285993,0.009
1246983308,37.852200,-122.286008,0.015
1246983309,37.852187,-122.286018,0.013
1246983310,37.852185,-122.286038,0.011
1246983311,37.852187,-122.286050,0.013
1246983312,37.852190,-122.286080,0.012
1246983313,37.852182,-122.286095,0.013
1246983314,37.852183,-122.286128,0.013
1246983315,37.852182,-122.286162,0.012
1246983316,37.852180,-122.286197,0.014
1246983317,37.852172,-122.286223,0.013
1246983318,37.852148,-122.286243,0.014
1246983319,37.852128,-122.286263,0.014
1246983320,37.852127,-122.286295,0.014
1246983321,37.852133,-122.286337,0.013
1246983322,37.852122,-122.286363,0.014
1246983323,37.852115,-122.286392,0.015
1246983324,37.852108,-122.286413,0.016
1246983325,37.852105,-122.286430,0.015
1246983326,37.852127,-122.286448,0.014
1246983327,37.852133,-122.286460,0.015
1246983328,37.852157,-122.286463,0.015
1246983329,37.852175,-122.286465,0.016
1246983330,37.852175,-122.286470,0.018
1246983331,37.852188,-122.286478,0.018
1246983332,37.852202,-122.286488,0.021
1246983333,37.852232,-122.286502,0.019
1246983334,37.852232,-122.286515,0.020
1246983335,37.852215,-122.286518,0.025
1246983336,37.852187,-122.286508,0.022
1246983337,37.852182,-122.286508,0.018
1246983338,37.852187,-122.286512,0.021
1246983339,37.852185,-122.286512,0.020
1246983340,37.852192,-122.286522,0.018
1246983341,37.852195,-122.286528,0.016
1246983342,37.852210,-122.286530,0.017
1246983343,37.852218,-122.286525,0.019
1246983344,37.852225,-122.286522,0.015
1246983345,37.852232,-122.286523,0.013
1246983346,37.852240,-122.286523,0.015
1246983347,37.852253,-122.286525,0.017
1246983348,37.852280,-122.286533,0.015
1246983349,37.852288,-122.286542,0.019
1246983350,37.852288,-122.286545,0.017
1246983351,37.852297,-122.286548,0.014
1246983352,37.852315,-122.286552,0.015
1246983353,37.852337,-122.286555,0.018
1246983354,37.852368,-122.286572,0.014
1246983355,37.852370,-122.286568,0.016
1246983356,37.852367,-122.286567,0.016
1246983357,37.852355,-122.286568,0.013
1246983358,37.852335,-122.286588,0.014
1246983359,37.852318,-122.286612,0.012
1246983360,37.852305,-122.286648,0.012
1246983361,37.852292,-122.286693,0.015
1246983362,37.852277,-122.286743,0.013
1246983363,37.852258,-122.286797,0.013
1246983364,37.852237,-122.286850,0.012
1246983365,37.852218,-122.286907,0.012
1246983366,37.852203,-122.286967,0.015
1246983367,37.852188,-122.287028,0.017
1246983368,37.852173,-122.287092,0.022
1246983369,37.852160,-122.287155,0.026
1246983370,37.852148,-122.287218,0.026
1246983371,37.852138,-122.287278,0.023
1246983372,37.852125,-122.287338,0.018
1246983373,37.852108,-122.287393,0.017
1246983374,37.852093,-122.287447,0.023
1246983375,37.852078,-122.287502,0.023
1246983376,37.852063,-122.287560,0.024
1246983377,37.852050,-122.287618,0.020
1246983378,37.852040,-122.287680,0.018
1246983379,37.852028,-122.287743,0.017
1246983380,37.852015,-122.287815,0.011
1246983381,37.852003,-122.287885,0.012
1246983382,37.851987,-122.287952,0.014
1246983383,37.851970,-122.288013,0.013
1246983384,37.851955,-122.288075,0.013
1246983385,37.851942,-122.288140,0.012
1246983386,37.851930,-122.288203,0.012
1246983387,37.851920,-122.288270,0.013
1246983388,37.851907,-122.288335,0.014
1246983389,37.851893,-122.288400,0.015
1246983390,37.851882,-122.288462,0.016
1246983391,37.851867,-122.288530,0.012
1246983392,37.851852,-122.288598,0.014
1246983393,37.851837,-122.288670,0.014
1246983394,37.851820,-122.288738,0.016
1246983395,37.851802,-122.288805,0.018
1246983396,37.851787,-122.288873,0.015
1246983397,37.851775,-122.288938,0.014
1246983398,37.851763,-122.289002,0.013
1246983399,37.851752,-122.289062,0.013
1246983400,37.851740,-122.289122,0.017
1246983401,37.851730,-122.289183,0.014
